gid_0,name_0,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
ARE,United Arab Emirates,bws,Dom,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,United Arab Emirates,bws,Irr,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,bws,One,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,bws,Dom,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,bws,Ind,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,bws,Irr,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,bws,Liv,5,1,4,Extremely High (>80%),Asia,Middle East & North Africa
CYP,Cyprus,bws,One,5,4.5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,bws,Dom,5,5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,bws,Ind,5,1,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,bws,Irr,5,5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,bws,Liv,5,5,4,Extremely High (>80%),Asia,Europe & Central Asia
KWT,Kuwait,bws,One,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
KWT,Kuwait,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
KWT,Kuwait,bws,Dom,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
KWT,Kuwait,bws,Ind,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
KWT,Kuwait,bws,Irr,5,1,4,Extremely High (>80%),Asia,Middle East & North Africa
KWT,Kuwait,bws,Liv,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,bws,One,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,bws,Dom,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,bws,Ind,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,bws,Irr,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,bws,Liv,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
OMN,Oman,bws,One,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
OMN,Oman,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
OMN,Oman,bws,Dom,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
OMN,Oman,bws,Ind,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
OMN,Oman,bws,Irr,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
OMN,Oman,bws,Liv,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,bws,One,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,bws,Dom,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,bws,Ind,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,bws,Irr,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,bws,Liv,5,5,4,Extremely High (>80%),Asia,Middle East & North Africa
SOM,Somalia,rfr,Pop,5,1,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
ARE,United Arab Emirates,bws,Tot,4.999991212,9,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,United Arab Emirates,bws,Liv,4.999794543,9,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,United Arab Emirates,bws,Ind,4.999416276,9,4,Extremely High (>80%),Asia,Middle East & North Africa
SAU,Saudi Arabia,bws,Dom,4.986705053,10,4,Extremely High (>80%),Asia,Middle East & North Africa
SAU,Saudi Arabia,bws,Tot,4.980808426,10,4,Extremely High (>80%),Asia,Middle East & North Africa
SAU,Saudi Arabia,bws,Irr,4.98032788,10,4,Extremely High (>80%),Asia,Middle East & North Africa
ISR,Israel,bws,Irr,4.967328352,11,4,Extremely High (>80%),Asia,Middle East & North Africa
SAU,Saudi Arabia,bws,Liv,4.96216926,10,4,Extremely High (>80%),Asia,Middle East & North Africa
SAU,Saudi Arabia,bws,Ind,4.960206487,10,4,Extremely High (>80%),Asia,Middle East & North Africa
ISR,Israel,bws,Dom,4.945213575,11,4,Extremely High (>80%),Asia,Middle East & North Africa
ISR,Israel,bws,Tot,4.941652066,11,4,Extremely High (>80%),Asia,Middle East & North Africa
EGY,Egypt,bws,Liv,4.904809975,11,4,Extremely High (>80%),Africa,Middle East & North Africa
SAU,Saudi Arabia,bws,One,4.891017,9,4,Extremely High (>80%),Asia,Middle East & North Africa
EGY,Egypt,bws,Irr,4.859964995,12,4,Extremely High (>80%),Africa,Middle East & North Africa
EGY,Egypt,bws,Dom,4.853915813,13,4,Extremely High (>80%),Africa,Middle East & North Africa
ISR,Israel,bws,Liv,4.85275678,12,4,Extremely High (>80%),Asia,Middle East & North Africa
EGY,Egypt,bws,Tot,4.851625216,12,4,Extremely High (>80%),Africa,Middle East & North Africa
LSO,Lesotho,bws,Irr,4.85157649,13,4,Extremely High (>80%),Africa,Sub-Saharan Africa
MRT,Mauritania,rfr,Pop,4.841143914,2,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
YEM,Yemen,bws,One,4.814270497,10,4,Extremely High (>80%),Asia,Middle East & North Africa
LBY,Libya,bws,Irr,4.814135521,14,4,Extremely High (>80%),Africa,Middle East & North Africa
BWA,Botswana,bws,Dom,4.814111219,14,4,Extremely High (>80%),Africa,Sub-Saharan Africa
LBY,Libya,bws,Tot,4.805210731,13,4,Extremely High (>80%),Africa,Middle East & North Africa
LBR,Liberia,rfr,Pop,4.793889994,3,4,Extremely High (more than 1 in 100),Africa,Sub-Saharan Africa
YEM,Yemen,bws,Liv,4.787443999,13,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,United Arab Emirates,bws,One,4.782608696,11,4,Extremely High (>80%),Asia,Middle East & North Africa
EGY,Egypt,bws,Ind,4.767725865,11,4,Extremely High (>80%),Africa,Middle East & North Africa
LBY,Libya,bws,Ind,4.759995835,12,4,Extremely High (>80%),Africa,Middle East & North Africa
YEM,Yemen,bws,Ind,4.751910955,13,4,Extremely High (>80%),Asia,Middle East & North Africa
EGY,Egypt,bws,One,4.750249229,12,4,Extremely High (>80%),Africa,Middle East & North Africa
LBY,Libya,bws,Dom,4.740096163,15,4,Extremely High (>80%),Africa,Middle East & North Africa
ISR,Israel,bws,One,4.736809597,13,4,Extremely High (>80%),Asia,Middle East & North Africa
YEM,Yemen,bws,Irr,4.702151545,15,4,Extremely High (>80%),Asia,Middle East & North Africa
YEM,Yemen,bws,Tot,4.693675833,14,4,Extremely High (>80%),Asia,Middle East & North Africa
IRN,Iran,bws,Irr,4.679089086,16,4,Extremely High (>80%),Asia,Middle East & North Africa
LBY,Libya,bws,One,4.673753738,14,4,Extremely High (>80%),Africa,Middle East & North Africa
BWA,Botswana,bws,Tot,4.664307436,15,4,Extremely High (>80%),Africa,Sub-Saharan Africa
ISR,Israel,bws,Ind,4.655947875,14,4,Extremely High (>80%),Asia,Middle East & North Africa
IRN,Iran,bws,Tot,4.653368575,16,4,Extremely High (>80%),Asia,Middle East & North Africa
BGD,Bangladesh,rfr,Pop,4.643022258,4,4,Extremely High (more than 1 in 100),Asia,South Asia
BWA,Botswana,bws,Ind,4.640601157,15,4,Extremely High (>80%),Africa,Sub-Saharan Africa
JOR,Jordan,bws,Dom,4.636468682,16,4,Extremely High (>80%),Asia,Middle East & North Africa
MRT,Mauritania,bws,Ind,4.631598256,16,4,Extremely High (>80%),Africa,Sub-Saharan Africa
