gid_0,name_0,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
BHR,Bahrain,2030,opt,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2030,bau,bws,Tot,5,3,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2030,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2050,opt,bws,Tot,5,4,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2050,bau,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2050,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2080,bau,bws,Tot,5,6,4,Extremely High (>80%),Asia,Middle East & North Africa
BHR,Bahrain,2080,pes,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
CYP,Cyprus,2030,opt,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2030,bau,bws,Tot,5,3,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2030,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2050,opt,bws,Tot,5,4,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2050,bau,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2050,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2080,opt,bws,Tot,5,3,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2080,bau,bws,Tot,5,6,4,Extremely High (>80%),Asia,Europe & Central Asia
CYP,Cyprus,2080,pes,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Europe & Central Asia
ISR,Israel,2080,bau,bws,Tot,5,6,4,Extremely High (>80%),Asia,Middle East & North Africa
ISR,Israel,2080,pes,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
JOR,Jordan,2080,bau,bws,Tot,5,6,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2030,opt,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2030,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2050,opt,bws,Tot,5,4,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2050,bau,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2050,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2080,opt,bws,Tot,5,3,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2080,bau,bws,Tot,5,6,4,Extremely High (>80%),Asia,Middle East & North Africa
LBN,Lebanon,2080,pes,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2030,opt,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2030,bau,bws,Tot,5,3,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2030,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2050,opt,bws,Tot,5,4,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2050,bau,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2050,pes,bws,Tot,5,3.5,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2080,opt,bws,Tot,5,3,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2080,bau,bws,Tot,5,6,4,Extremely High (>80%),Asia,Middle East & North Africa
QAT,Qatar,2080,pes,bws,Tot,5,4.5,4,Extremely High (>80%),Asia,Middle East & North Africa
SMR,San Marino,2050,opt,bws,Tot,5,4,4,Extremely High (>80%),Europe,Europe & Central Asia
